Longitude,Latitude,U,V
-4.630642204802807527e+01,-2.408242401826778689e+01,-8.000000000000000444e-01,2.600000000000000089e-01
-4.630544017752444574e+01,-2.408242401826778689e+01,-8.000000000000000444e-01,2.500000000000000000e-01
-4.630445822244525544e+01,-2.408242401826778689e+01,-8.000000000000000444e-01,2.500000000000000000e-01
-4.630347628106346747e+01,-2.408242401826778689e+01,-8.000000000000000444e-01,2.500000000000000000e-01
-4.630249445164162125e+01,-2.408242401826778689e+01,-8.000000000000000444e-01,2.399999999999999911e-01
-4.630151253764182684e+01,-2.408242401826778689e+01,-8.000000000000000444e-01,2.399999999999999911e-01
-4.630053063733527807e+01,-2.408242401826778689e+01,-7.900000000000000355e-01,2.300000000000000100e-01
-4.629954884898615575e+01,-2.408242401826778689e+01,-7.900000000000000355e-01,2.300000000000000100e-01
-4.629856697605862337e+01,-2.408242401826778689e+01,-7.800000000000000266e-01,2.200000000000000011e-01
-4.629758521508484392e+01,-2.408242401826778689e+01,-7.700000000000000178e-01,2.200000000000000011e-01
-4.629660336953416078e+01,-2.408242401826778689e+01,-7.700000000000000178e-01,2.099999999999999922e-01
-4.629562153766750754e+01,-2.408242401826778689e+01,-7.700000000000000178e-01,2.099999999999999922e-01
